優先度,ID,ページ,語句,問題種別,正解の意味,例文,指摘内容
medium,vocab1300_p179_002,179,ふりむきざま,sentence,,青ちゃんは、ふりむきざまに名前を呼ばれました。,「〜ざま」は主語が自らの動作をする瞬間に別の動作も行うことを表す形式（例：「ふりむきざまに怒鳴った」）。この例文では主語（青ちゃん）が振り向く動作をする一方で、名前を呼ぶのは他者であり、受身形「呼ばれた」になっている。語の本来の使われ方（主語の二つの動作の同時性）とずれており、習得の妨げになりうる。
medium,vocab1300_p189_003,189,相当,meaning,程度や内容が、同じくらいであること,英検二級相当の英語力をつけるため、毎日練習しました。,定義が「程度や内容が同じくらいであること（同等）」の意味のみを示しているが、「相当」は副詞として「かなり・非常に」（例：相当難しい）という用法の方が子どもの読書場面では頻出する。例文はたまたま同等の意味で使われているが、もう一方の重要な意味が抜けているため、他の文脈で出会ったときに混乱しやすい。
medium,vocab1300_p189_004,189,苦し紛れ,meaning,どうにもならず、我慢しきれず何かをすること,宿題を忘れて、苦し紛れに変な言い訳をしてしまいました。,「我慢しきれず何かをすること」という部分が不正確。「苦し紛れ」は「我慢できなくなる」ではなく、「追い詰められてほかに手段がなく、やむなく何かをしてしまう」という切羽詰まった状況での行動を指す。「我慢しきれず」は痛みや欲求を抑えられない場合に使う表現なので、ニュアンスがずれている。
medium,vocab1300_p191_001,191,はたして,meaning,やはり思った通り、案の定,空が暗くなってきました。はたして、少しすると雨が降り出しました。,定義が「やはり思った通り、案の定」の意味のみを示しているが、「はたして」には「本当に〜だろうか（疑問・危惧を表す）」という用法（例：はたして間に合うのだろうか）も頻繁にある。この疑問・詠嘆用法が欠けているため、定義が不完全で、実際の文章で出会ったときに意味を取り違えやすい。
medium,vocab1300_p192_006,192,本音,both,言葉にした本当の気持ち,友だちは笑っていたけれど、本音では少し悲しかったようです。,定義の「言葉にした本当の気持ち」は「本音」が口に出されたものを指すかのように読めるが、本音は「口に出さない内心の本当の気持ち」であることも多く、「言葉にした」という修飾は不正確。実際に例文も「友だちは笑っていたけれど、本音では少し悲しかったようです」とあり、友だちが本音を口に出していない場面を示しており、定義と例文が矛盾している。本音の本質は建て前と対比される「うわべではない本当の気持ち」であり、発言の有無は問わない。
medium,vocab1300_p196_004,196,かさに着ていばる,sentence,力のある人の力を借りて、いばること,強い友だちをかさに着ていばるのはよくありません。,「強い友だちをかさに着ていばる」という例文の助詞と語の組み合わせが不自然。「かさに着る」は人物そのものを目的語に取らず、「力・権力・立場」などを取る。自然な形は「強い友だちの力をかさに着ていばる」または「親の権力をかさに着ていばる」。「友だち（人）をかさに着る」とすると「友だちを笠のように使う」という直訳に引きずられ、本来の慣用的な意味から外れた読み方になる。
medium,vocab1300_p199_005,199,心おきなく,meaning,思う存分、好きなだけ,宿題が終わったので、心おきなく遊べます。,correct_meaning「思う存分、好きなだけ」は「心おきなく」の結果として生じる状態であり、語の本義ではない。「心おきなく」の核心は「気兼ねや遠慮がない・心に引っかかるものがない（from 心に置くことがない）」という意味。「好きなだけ」は量的な含意があり、「遠慮なく・気にせず」という自由の性質を伝えていない。explanation の「気にすることなく、思う存分」の方が正確。
medium,vocab1300_p200_006,200,災い,meaning,災難,軽はずみな発言は、大きな災いを招くことがあります。,correct_meaning が同義語一語「災難」だけで、語の意味を説明できていない。しかも「災難」はこのバッチ内（p202_006）で別の単語として出てくるため、子どもが両者を混同する可能性がある。「よくないことが身に降りかかること」など、言葉で説明する必要がある。explanation には「よくない出来事や災難のことです」と補足されているのに correct_meaning に反映されていない。
medium,vocab1300_p201_001,201,請け負う,sentence,仕事を引き受けること,父は、会社から新しい仕事を請け負いました。,「会社から新しい仕事を請け負いました」は「請け負う」の用法として不自然。「請け負う」は発注者（クライアント）から外部の請負人が仕事を引き受けるという契約的関係を前提とする語。社員が自分の会社から仕事を「請け負う」とは言わず、「任される」「担当する」を使う。父が個人事業主・フリーランスである文脈の明示がないと、子どもに誤用を学ばせてしまう。
medium,vocab1300_p201_005,201,引っ込み思案,sentence,消極的で、自分から進んで行動しないこと,青ちゃんは少し引っ込み思案で、発表の前に緊張しました。,「発表の前に緊張しました」は「引っ込み思案」の意味を示せていない。発表前の緊張は誰にでも起こることで、「自分から前に出ようとしない・積極的に行動しない」という語の核心を表していない。例えば「手を挙げたかったのに、引っ込み思案で言い出せなかった」のような、消極性・尻込みの行動を描写する例文でないと意味が伝わらない。
medium,vocab1300_p203_002,203,目をかける,meaning,ひいきにする、気にかけること,先生は、新しく入った子に目をかけていました。,correct_meaning の「ひいきにする」は不公平な依怙贔屓というネガティブな含意を持ち、「目をかける」のニュアンスとずれがある。「目をかける」は上位者が有望な後輩・部下などを特に気にかけて世話することで、基本的にポジティブな表現。「ひいきにする」と並べると、えこひいきや不公平感が前面に出てしまい、子どもが語の印象を誤って学ぶ可能性がある。
medium,vocab1300_p214_003,214,健やか,meaning,心も体も元気で、健康な様子,家族は、赤ちゃんが健やかに育つことを願いました。,「丈夫にすくすくと育つ様子」と説明しているが、健やかは成長期の子どもだけに使う語ではなく、あらゆる年齢の「心身が元気で健康な様子」を表す。「健やかに暮らす」「健やかな老後」のような使い方ができることが伝わらず、意味が不完全。
medium,vocab1300_p217_001,217,午,sentence,,たてがみがあり、草原を走る動物を表します。,例文「たてがみがあり、草原を走る動物を表します。」は、「午」という字を一切使わず動物の説明になっている。語がどのように文中で使われるか（例：今年は午年です／午の刻）を示せておらず、例文として機能していない。
medium,vocab1300_p217_002,217,申,sentence,,木に登ったり、すばしっこく動いたりする動物です。,例文「木に登ったり、すばしっこく動いたりする動物です。」は、「申」という字を使わず動物の説明になっている。語の使われ方（例：申年生まれ）が伝わらない。
medium,vocab1300_p217_003,217,亥,sentence,,大きなきばを持つ、ぶたに似た野生の動物です。,例文「大きなきばを持つ、ぶたに似た野生の動物です。」は、「亥」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p217_004,217,寅,sentence,,しま模様があり、大きな猫のような動物です。,例文「しま模様があり、大きな猫のような動物です。」は、「寅」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p217_005,217,辰,sentence,,空想上の動物で、長い体を持ち、空を飛べるとされています。,例文「空想上の動物で、長い体を持ち、空を飛べるとされています。」は、「辰」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p217_006,217,子,sentence,,チューチューと鳴く、小さな動物です。,例文「チューチューと鳴く、小さな動物です。」は、「子」という字を使わず動物の説明になっている。「子」は「子年」や「子の刻」など固有の文脈で使われるが、その使い方が示されていない。
medium,vocab1300_p218_001,218,丑,sentence,,牛乳を出す動物としても知られています。,例文「牛乳を出す動物としても知られています。」は、「丑」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p218_002,218,巳,sentence,,長い体で、はいながら前へ進む動物です。,例文「長い体で、はいながら前へ進む動物です。」は、「巳」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p218_003,218,卯,sentence,,ぴょんぴょん飛びはねて、長い耳が特徴です。,例文「ぴょんぴょん飛びはねて、長い耳が特徴です。」は、「卯」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p218_004,218,未,sentence,,毛から、あたたかいセーターを作ることがあります。,例文「毛から、あたたかいセーターを作ることがあります。」は、「未」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p218_005,218,戌,sentence,,ワンワンとほえる、身近な動物です。,例文「ワンワンとほえる、身近な動物です。」は、「戌」という字を使わず動物の説明になっている。語の使われ方が伝わらない。
medium,vocab1300_p218_006,218,酉,both,にわとり（鶏）,ニワトリなど、人に時を知らせる動物です。,correct_meaning が「鳥」と広すぎる。干支の酉はにわとり（鶏）を指すものであり、スズメや鷹などの鳥全般を指すわけではない。例文中の「ニワトリなど」もこれを示唆しているため、correct_meaning との不一致が生じている。また例文「ニワトリなど、人に時を知らせる動物です。」は「酉」という字を使っておらず、語の使われ方が伝わらない点も他の干支文字と同様の問題がある。
medium,vocab1300_p219_001,219,大和,sentence,,昔、都があった場所で、春日大社や大仏でも有名です。,例文「昔、都があった場所で、春日大社や大仏でも有名です。」は、「大和」という語を一切使わず奈良の説明になっている。「大和の国は奈良県あたりを指します」「大和は昔、都が置かれた地です」のように語を使った例文の方が学習に適している。
medium,vocab1300_p219_002,219,蝦夷,both,北海道,日本の北にある地域で、シカやリスにもこの名前がついています。,correct_meaningが「北海道」のみでは不完全。「蝦夷」は元来、朝廷に服属しなかった先住民族（アイヌなど）を指す語であり、地名としての意味（北海道の古称）に限定されない。「北海道の古称・先住民族の呼び名」とする方が歴史的に正確。また例文中に「蝦夷」という語句が一切登場せず、語句の使い方（例：蝦夷地、エゾシカ）を実地に示せていない。
medium,vocab1300_p219_003,219,阿波,sentence,徳島県,四国にあり、踊りやうず潮で有名なところです。,例文中に「阿波」という語句が使われておらず、語句がどのように用いられるか（例：阿波踊り、阿波の国）を示せていない。内容の正確性は問題ないが、語彙学習の例文として語句そのものの用法例示ができていない。
medium,vocab1300_p219_004,219,土佐,sentence,高知県,坂本龍馬が生まれ育ったことで有名なところです。,例文中に「土佐」という語句が使われておらず、語句の使い方（例：土佐日記、土佐の国）を示せていない。内容の正確性は問題ないが、語彙学習の例文として語句そのものの用法例示ができていない。
medium,vocab1300_p219_005,219,琉球,both,沖縄県,日本の南にあり、昔は王国として栄えたところです。,correct_meaningの「沖縄県」は、琉球が独立した王国（琉球王国）であった歴史を省略しており、「沖縄県にあたる地域の古い呼び名・王国名」とする方がニュアンスとして正確。また例文中に「琉球」という語句が使われておらず、語句の用法（例：琉球王国、琉球文化）を示せていない。
low,vocab1300_p003_005,3,均等,meaning,同じくらいにそろっていること,おかしを三人で均等に分けました。,correct_meaning「同じくらいにそろっていること」の「くらい」はおおよその近似を示す表現。均等は「過不足なく等しいこと・完全に同じであること」を意味し、近似ではなく完全な等量・等分を指す。「同じ量にそろっていること」など「くらい」を除いた表現が適切。
low,vocab1300_p010_004,10,信念,meaning,自分が正しいと強く信じる気持ち,その選手は、必ずうまくなるという信念を持って練習しました。,correct_meaning「自分が正しいと強く信じる気持ち」は「自分が正しい」という自己正当化のニュアンスを含みやすい。信念は「ある目標・理念・事柄を正しいと深く信じる気持ち」であり、対象は自分の正しさに限らない。例文の「必ずうまくなるという信念」の方が本来の語義を正確に示している。
low,vocab1300_p004_006,4,口実,meaning,言い訳や理由として使う言葉,宿題をしない口実を考えるより、少しずつ進めた方がよいです。,correct_meaning「言い訳や理由として使う言葉」の「理由」は中立的な表現。口実は「本来の目的を隠すための表向きの言い訳・都合のよい名目」という意味が核心であり、正当な「理由」と混同されやすい。「言い訳のために使う都合のよい名目」のように、建て前・口実であることが伝わる表現が望ましい。
low,vocab1300_p005_002,5,仮に,meaning,本当かは別として一時的に考えること,仮に雨が降ったら、体育は体育館で行います。,correct_meaning「本当かは別として一時的に考えること」は表現が不自然かつ不完全。「仮に」は「もし〜とすれば（仮定・仮説を導く副詞）」であり、「一時的に考えること」という説明では語の仮定条件を導く機能が伝わらない。「もし〜だとしたら、という仮定で考えるときに使う言葉」などの表現が適切。
high,vocab1300_p013_001,13,不惑,both,ふわく,四十歳のお祝いで、不惑という言葉を知りました。,correct_meaningフィールドに読み方「ふわく」しか入っておらず、意味（四十歳を指す言葉・迷いのない境地）が書かれていない。また例文「不惑という言葉を知りました」はメタ的な文（その語を習ったという内容）であり、語句の実際の使い方を示していない。
high,vocab1300_p013_002,13,還暦,meaning,かんれき,祖父の還暦のお祝いに、家族で赤い花を用意しました。,correct_meaningフィールドに読み方「かんれき」しか入っておらず、意味（六十歳を表す長寿の祝い名）が書かれていない。explanationには正しい説明があるが、正解選択肢として機能するcorrect_meaningが読み仮名のみでは問題として成立しない。
high,vocab1300_p013_003,13,白寿,meaning,はくじゅ,ひいおばあちゃんの白寿を祝って、みんなで写真を撮りました。,correct_meaningフィールドに読み方「はくじゅ」しか入っておらず、意味（九十九歳を表す長寿の祝い名）が書かれていない。
high,vocab1300_p013_004,13,喜寿,meaning,きじゅ,おばあちゃんの喜寿のお祝いに、みんなで手紙を書きました。,correct_meaningフィールドに読み方「きじゅ」しか入っておらず、意味（七十七歳を表す長寿の祝い名）が書かれていない。
high,vocab1300_p013_005,13,卒寿,meaning,そつじゅ,九十歳になった祖母の卒寿を、家族でお祝いしました。,correct_meaningフィールドに読み方「そつじゅ」しか入っておらず、意味（九十歳を表す長寿の祝い名）が書かれていない。
low,vocab1300_p015_003,15,閉口する,sentence,どうしてよいか分からず困りはてること,同じ質問を何度もされて、先生は少し閉口していました。,「少し閉口していました」という表現がやや不自然。閉口するは「どうしてよいか分からず困りはてる・お手上げになる」という強い状態を表す語であり、「少し」という程度副詞と組み合わせると語感が矛盾気味になる。
low,vocab1300_p017_004,17,至急,sentence,とても急ぐこと,水とうを忘れたので、至急、教室へ取りに戻りました。,水筒を忘れて取りに戻るという場面は、至急が持つ緊急性・重大性のニュアンスにやや軽すぎる。至急は重要な連絡や緊急事態に使われる語であり、日常の忘れ物への使用では語の重みが子どもに伝わりにくい。
low,vocab1300_p018_002,18,手頃,meaning,ちょうどよく扱いやすいこと,この本はページ数が少なく、読書を始めるには手頃です。,「ちょうどよく扱いやすいこと」はサイズや難易度の文脈では正しいが、「手頃な値段（適度な価格・お手頃価格）」という日常でよく使われる用法が抜けている。意味が限定的。
low,vocab1300_p022_004,22,率いる,meaning,多くの人をまとめて連れて行くこと,先生はクラスのみんなを率いて、体育館へ向かいました。,「多くの人をまとめて連れて行くこと」は物理的な移動に限定されすぎており、率いるが本来持つ「先頭に立って指揮する・リードする」というリーダーシップのニュアンスが抜けている。
low,vocab1300_p022_006,22,いかつい,both,かたくて、ごつごつしているようす,その岩は大きくて、いかつい形をしていました。,意味「かたくて、ごつごつしているようす」と例文（岩の形）は整合しているが、いかついは人の顔つき・体格・外見を表す場合に最もよく使われる語。岩の例文だけでは語の主要な用法・ニュアンスが伝わりにくい。
low,vocab1300_p023_003,23,ねぎらう,meaning,苦労してくれたことに感謝すること,先生は、準備をがんばった係の人たちをねぎらいました。,「苦労してくれたことに感謝すること」は大まかには正しいが、ねぎらうは単なる感謝ではなく「相手の苦労・努力をいたわり、言葉や態度でその大変さを認めてあげること」というニュアンスを持つ。感謝する（ありがとうと思う）とは微妙に異なる。
low,vocab1300_p023_005,23,手招き,sentence,こちらへ来るように手で合図すること,母は、こちらへ来るように手招きしました。,例文「母は、こちらへ来るように手招きしました」が意味の説明（「こちらへ来るように手で合図すること」）をほぼそのまま言い換えた内容になっており、語句が実際の場面でどう使われるかを示す例文として弱い。
low,vocab1300_p024_004,24,試み,sentence,試しに何かをやってみること,先生は、新しい方法で授業をする試みをしました。,「試みをしました」はやや不自然。「試みる」は動詞として使うか、名詞なら「試みを行いました」「試みました」が自然。「試みをした」という形は口語的には通じるが、教材の文体として少し据わりが悪い。
low,vocab1300_p025_005,25,こうこう,meaning,明るく、きらきらと輝くようす,夜道に、車のライトがこうこうと輝いていました。,「きらきらと輝く」の「きらきら」は点滅・またたくイメージ（星・宝石）を連想させるが、「こうこう（煌煌）」は安定した強い光が照り輝くようすを指す。例文（車のライト）は正しい用例。ただしcorrect_meaningの「きらきら」という表現が、本来のこうこうの語感とやや異なる方向へ誘導する可能性がある。
low,vocab1300_p027_003,27,創造,sentence,新しいものをつくり出すこと,空き箱を使って、新しいおもちゃを創造しました。,「創造」は芸術・文明・概念などに使う重みのある語で、「空き箱でおもちゃを創造」は語感が重すぎる。小学生の手工作には「作りました」「工夫して作り上げました」が自然。語の重みと例文の場面がアンバランスなため、子どもが語の本来のスケールを体感しにくい。
low,vocab1300_p031_001,31,軽はずみ,sentence,よく考えずに何かをすること,よく考えずに軽はずみなことを言って、友だちを傷つけてしまいました。,「軽はずみ」自体が「よく考えずに」という意味を含むため、「よく考えずに軽はずみな」は意味が重複している。「軽はずみなことを言って」だけで意味は伝わる。語の意味を覚える例文として、語義の繰り返しは避けた方がよい。
low,vocab1300_p041_003,41,めかす,sentence,,発表会の日、姉はワンピースを着て、少しめかしていました。,めかすは『きちんと・しっかりと着飾る』意味の語で、『少し』という修飾語とは相性が悪い。めかすには『ちゃんとおしゃれをする』という一定の度合いが含意されており、『少しめかす』は意味がやや矛盾する。おめかしする・着飾るなどに比べ、『少し』で弱めてしまうとニュアンスが伝わりにくい。
low,vocab1300_p045_001,45,有り様,sentence,,発表会の有り様を、家族にくわしく話しました。,有り様は中立的な状態描写にも使えるが、しばしば『このありさまを見よ』のように否定的・嘆きの文脈で用いられる。発表会の様子を家族に報告するポジティブな場面では『様子』の方が自然で、有り様を使うとやや違和感が残る。正の場面でも使えることは教えつつ、ニュアンスを補足した方が誤解を防げる。
low,vocab1300_p053_001,53,疑惑,meaning,不正や不誠実なことをしたのではないかという疑い・うたがい,本当に自分で作ったのか、少し疑惑の目で見られました。,「本当かどうか疑うこと」は定義として広すぎる。疑惑は「不正・不誠実なことが行われたのではないか」というネガティブな疑いを指す語で、単なる事実確認の疑問（「本当かな？」）とは異なる。例文では不正行為（代作）への疑いとして正しく使われているが、correct_meaningの記述がその悪事・不正のニュアンスを落としており、子どもが中立的な「疑問」場面でも疑惑を使ってしまう誤用につながりうる。
low,vocab1300_p054_002,54,帳尻を合わせる,meaning,最終的に辻褄が合うようにすること。収支や物事のつじつまを整えること（後から帳尻だけ合わせる、という含みを持つこともある）,予定より遅れた分、最後に急いで帳尻を合わせました。,「最終的に予定通りになるようにすること」という定義は例文の文脈にはほぼ合っているが、帳尻を合わせるの本来の意味は「収支・計算の帳尻（差引残高）を整えること→最終的に辻褄が合うようにすること」であり、「予定通り」という要素は必須でない。場合によっては「後で無理につじつまを合わせる・帳尻だけ合わせて誤魔化す」というネガティブなニュアンスで使われることも多く、それが定義に反映されていない。
low,vocab1300_p058_006,58,うろ覚え,sentence,しっかりと覚えていないこと,歌の歌詞をうろ覚えだったので、途中で止まってしまいました。,「歌詞をうろ覚えだった」の助詞「を」が不自然。「うろ覚え」は状態を表す名詞・形容動詞なので「歌詞がうろ覚えだったので」とするのが標準的な表現。助詞の誤りが語句の用法学習に悪影響を与える可能性がある。
low,vocab1300_p063_006,63,先端,meaning,とがっている先の部分,えんぴつの先端がとがっているので、気をつけて持ちました。,correct_meaning「とがっている先の部分」は「とがっている」という条件が付いているため、先端の意味を尖ったものに限定してしまっている。「先端」は「指の先端」「棒の先端」など尖っていないものにも使う。例文のえんぴつはたまたまとがっているが、定義としては「先の部分・先っぽ」のほうが正確。
low,vocab1300_p057_002,57,安易,meaning,深く考えないこと,安易に答えを写すのではなく、自分で考えましょう。,correct_meaning「深く考えないこと」は「安易」の一側面は捉えているが、「いい加減・軽々しい・苦労なく済ませようとする」というニュアンスが弱い。「安易」は単に考えが足りないだけでなく「手を抜く・楽をしようとする」意味合いを含んでおり、定義が若干狭い。例文は適切で問題ない。
low,vocab1300_p069_001,69,強いる,sentence,無理にさせること,友だちに、いやな係を無理に強いるのはよくありません。,「強いる」自体が「無理にさせること」を意味するため、「無理に強いる」は意味の重複（冗長）になっている。語の意味を例文で確認させる目的では、語義が二重に現れると紛らわしい。
low,vocab1300_p069_005,69,紙一重,sentence,違いがわずかであること,一位と二位の差は紙一重でした。,「紙一重」は「成功と失敗」「生死」「善悪」のような相反する概念の間のわずかな差に用いるのが典型的な用法で、競技順位の差には使い方がやや不自然。語のもつ「際どい境界線」のニュアンスが伝わりにくい例文になっている。
high,vocab1300_p073_001,73,大事,meaning,大切なこと、または大切にすること,これは、おばあちゃんからもらった大事な本です。,correct_meaningフィールドに意味ではなく読み方「だいじ」しか記載されていない。意味の説明として機能しておらず、「大切なこと・大切にすること」のような記述が必要。
high,vocab1300_p073_002,73,大事,meaning,重大な出来事・大変な事態,早く手当てできたので、大事にならずにすみました。,correct_meaningフィールドに読み方「おおごと」しか記載されていない。意味として「重大な出来事・大変な事態」といった記述が必要。
high,vocab1300_p073_003,73,人気,meaning,多くの人に好かれていること・評判がよいこと,その遊びはクラスで人気があります。,correct_meaningフィールドに読み方「にんき」しか記載されていない。意味として「多くの人に好かれていること・評判がよいこと」といった記述が必要。
high,vocab1300_p073_004,73,人気,meaning,人がいる気配,夜の公園は人気がなくて、少しこわく感じました。,correct_meaningフィールドに読み方「ひとけ」しか記載されていない。意味として「人がいる気配」といった記述が必要。
high,vocab1300_p073_005,73,上手,meaning,相手より一段優れていること,将棋では、兄の方が一枚上手です。,correct_meaningフィールドに読み方「うわて」しか記載されていない。意味として「相手より一段優れていること」といった記述が必要。
high,vocab1300_p073_006,73,上手,meaning,手際がよく、上手にできること,妹は絵をかくのが上手です。,correct_meaningフィールドに読み方「じょうず」しか記載されていない。意味として「手際がよく、上手にできること」といった記述が必要。
high,vocab1300_p085_001,85,生物（なまもの）,meaning,なまもの,暑い日は、生物を早めに冷蔵庫へ入れましょう。,correct_meaning フィールドに「なまもの」という読みがそのまま入っており、意味の定義になっていない。「火を通していない食べ物」など実際の意味を記載する必要がある。
high,vocab1300_p085_002,85,生物（せいぶつ）,meaning,せいぶつ,海にはたくさんの生物がすんでいます。,correct_meaning フィールドに「せいぶつ」という読みがそのまま入っており、意味の定義になっていない。「生命を持つもの、動物・植物など」のような意味を記載する必要がある。
high,vocab1300_p085_003,85,人事（じんじ）,meaning,じんじ,会社の人事について、父が話していました。,correct_meaning フィールドに「じんじ」という読みがそのまま入っており、意味の定義になっていない。「会社などで、採用・配置・昇進など人に関することを決めること」のような意味が必要。
high,vocab1300_p085_004,85,人事（ひとごと）,meaning,ひとごと,友だちの失敗を人事だと思わず、自分も気をつけます。,correct_meaning フィールドに「ひとごと」という読みがそのまま入っており、意味の定義になっていない。「自分には関係のない、他人のこと」のような意味が必要。
high,vocab1300_p085_005,85,見物（けんぶつ）,meaning,けんぶつ,京都の古い町を見物しました。,correct_meaning フィールドに「けんぶつ」という読みがそのまま入っており、意味の定義になっていない。「観光地や催し物などを見て楽しむこと」のような意味が必要。
high,vocab1300_p085_006,85,見物（みもの）,meaning,みもの,最後のダンスは、なかなかの見物でした。,correct_meaning フィールドに「みもの」という読みがそのまま入っており、意味の定義になっていない。「見る価値があるほど、すばらしいこと・もの」のような意味が必要。
low,vocab1300_p080_002,80,いざこざ,meaning,トラブル,二人の間でいざこざが起きたので、先生が話を聞きました。,「トラブル」は機器の故障・事故・物事の支障なども含む広い語だが、「いざこざ」は人と人の間の小さなもめごと・口論に限定される語。定義が広すぎて、「いざこざ」固有の「人同士のごたごた」というニュアンスが伝わらない。
low,vocab1300_p081_002,81,あたかも,meaning,まるで、ちょうど,弟は、あたかも全部知っているかのように話しました。,「ちょうど」は「ちょうどよい」「ちょうど3時」のように、量・時刻・状態がぴったり合う意味で多用される語であり、「まるで〜のように」という比況の意味では使われにくい。「あたかも」の類義語として「ちょうど」を並べると誤用を招くおそれがある。「まるで」だけで十分。
low,vocab1300_p080_006,80,翻訳する,meaning,他の言語に言い換えること,英語の手紙を日本語に翻訳しました。,「言い換えること」は同じ言語内での言い替えを連想させる表現。翻訳は「別の言語に移し替えること」であり、「言い換える」より「別の言語で表す・訳す」の方が正確。語のニュアンスを微妙に損なう。
low,vocab1300_p084_005,84,いきおい,meaning,,みんなが手を上げたので、いきおい自分も手を上げました。,「その場のなりゆきで」は副詞的な用法のみを切り取った定義。「いきおい」の一般的・一次的な意味は「勢い」（力・速度・勢力・活気）であり、副詞的用法はその派生。この定義だけでは、「いきおいよく走り出す」「チームのいきおいが増した」といった一般的な使われ方で意味がとれなくなるおそれがある。
low,vocab1300_p087_006,87,粗末,meaning,みすぼらしいこと、扱いが悪いこと,道具を粗末にせず、大切に使いましょう。,「みすぼらしいこと」（外見が貧相・惨め）は「粗末」の意味の一側面に過ぎず、例文が示す「丁寧に扱わないこと・大切にしないこと」という主な意味と乖離している。「みすぼらしいこと」を先に置くと、子どもが「見た目が悪い」という意味で覚えてしまうおそれがある。
low,vocab1300_p089_005,89,うそぶく,sentence,,弟は『次は絶対一位になる』とうそぶきました。,「うそぶく」には「大口をたたく・ほらを吹く」の意味のほかに、「知らないふりをして言う・とぼけた顔で言う」という意味も辞書に記載される。例文の「次は絶対一位になる」という発言は、文脈によっては真剣な決意表明とも読め、「うそぶく」が持つ大げさ・軽口・とぼけたトーンが伝わりにくい。もう少し大言壮語ぶりが伝わる例の方が語のニュアンスを明確に示せる。
high,vocab1300_p097_001,97,生地（きじ）,meaning,布や服に使う材料,赤と青の生地を買って、バッグを作りました。,correct_meaning が「きじ」（読み方）のみで、実際の意味「布や服に使う材料」が記載されていない。explanation にはその意味が書かれており、correct_meaning フィールドのみ欠落している。
high,vocab1300_p097_002,97,生地（せいち）,meaning,その人が生まれた土地,坂本龍馬の生地は、今の高知県です。,correct_meaning が「せいち」（読み方）のみで、実際の意味「その人が生まれた土地」が記載されていない。
high,vocab1300_p097_003,97,末期（まっき）,meaning,ある物事の終わりに近いころ,江戸時代の末期に、外国の船が来ました。,correct_meaning が「まっき」（読み方）のみで、実際の意味「ある物事の終わりに近いころ」が記載されていない。
high,vocab1300_p097_004,97,末期（まつご）,meaning,一生の終わりのとき,祖母の末期を、家族みんなで見守りました。,correct_meaning が「まつご」（読み方）のみで、実際の意味「一生の終わりのとき」が記載されていない。
high,vocab1300_p097_005,97,辛い（つらい）,meaning,心や体が苦しいこと,大切な友だちと別れるのは辛いです。,correct_meaning が「つらい」（読み方）のみで、実際の意味「心や体が苦しいこと」が記載されていない。
high,vocab1300_p097_006,97,辛い（からい）,meaning,唐辛子などで舌が刺激される味,このカレーは、辛すぎて食べられません。,correct_meaning が「からい」（読み方）のみで、実際の意味「唐辛子などで舌が刺激される味」が記載されていない。
low,vocab1300_p090_003,90,ささやか,meaning,,誕生日に、家族でささやかなお祝いをしました。,correct_meaning「規模が小さいようす」は正確だが、ささやかには「つつましい・ひかえめ」という肯定的なニュアンスが強く、単なる「小さい」とは異なる。「小規模ながらも心のこもった」という含みが抜けており、小学生が「小さいこと」と「ささやか」を同一視してしまう恐れがある。
low,vocab1300_p091_006,91,うろたえる,sentence,,急に名前を呼ばれて、少しうろたえました。,うろたえるは「どうしたらよいか分からず激しくあわてる」という強い動揺を表す語。「少し」という副詞と組み合わせると、語の持つ強度（パニックに近い混乱）が弱まり、語のニュアンスを正確に伝えにくい。また「急に名前を呼ばれる」程度の状況は軽すぎる可能性がある。
low,vocab1300_p095_004,95,筋金入り,meaning,,祖父は毎日走る、筋金入りのランナーです。,correct_meaning「体や考えがしっかり鍛えられているようす」は概ね正しいが、筋金入りの核心は「長年の経験・苦労によって鍛え上げられた、本物の・根っからの」というニュアンス。単なる「よく鍛えられている」より「根っからの・骨の髄まで」という徹底ぶりが重要。例文の「毎日走る」だけでは長期的な献身のニュアンスが伝わりにくい。
low,vocab1300_p100_002,100,先人,meaning,,先人の知恵から、今の私たちも学ぶことができます。,correct_meaning に「祖先」が含まれているが、先人は「先に生きた人たち・前代の人々」を広く指し、血縁上の祖先（先祖）とは異なる。「昔の偉人」や「その道を切り開いた先代の人々」を含む表現であり、「祖先」を同義語として並べると誤解を招く恐れがある。
low,vocab1300_p100_003,100,無縁,sentence,,運動と健康は無縁ではありません。,例文が「無縁ではない（=関係がある）」という否定形での使用になっているため、「無縁」という語そのものの意味（関係がない）が例文から直接読み取りにくい。小学生が語の意味を例文から推測する際に混乱しやすい。肯定形で無縁を使った例（例：「ゲームばかりしていると、運動と無縁になってしまいます」）の方が語の意味を示しやすい。
