No.,ID,ページ,語句,読み,正解の意味,例文,解説
257,vocab1300_p048_006,48,素手,すで,武器や道具などを何も持っていないこと,熱いなべを素手でさわると危ないので、ミトンを使いましょう。,素手は、武器や道具などを何も持っていないことです。
258,vocab1300_p049_001,49,袋のねずみ,ふくろのねずみ,逃げ場を失った状態,出口をふさがれて、逃げる場所がなくなり、まるで袋のねずみでした。,袋のねずみは、逃げ場を失った状態のたとえです。
259,vocab1300_p049_002,49,烏の行水,からすのぎょうずい,お風呂に入る時間がとても短いこと,弟はお風呂に入ってもすぐ出てくるので、烏の行水です。,烏の行水は、お風呂に入る時間がとても短いことのたとえです。
260,vocab1300_p049_003,49,狸寝入り,たぬきねいり,寝たふりをすること,名前を呼ばれているのに、弟は狸寝入りをしていました。,狸寝入りは、寝たふりをすることです。
261,vocab1300_p049_004,49,鶴の一声,つるのひとこえ,力のある人の一言で物事が決まること,なかなか決まらなかった話が、先生の鶴の一声で決まりました。,鶴の一声は、力のある人の一言で物事が決まってしまうたとえです。
262,vocab1300_p049_005,49,馬の耳に念仏,うまのみみにねんぶつ,いくら意見を言っても効き目がないこと,何度注意してもふざけてばかりで、馬の耳に念仏でした。,馬の耳に念仏は、いくら意見を言っても、まったく効き目がないことのたとえです。
263,vocab1300_p049_006,49,雀の涙,すずめのなみだ,わずかしかないこと,おこづかいは残りが雀の涙ほどしかありませんでした。,雀の涙は、わずかしかないことのたとえです。
264,vocab1300_p051_001,51,無難,ぶなん,危険がなく、安心できること,暗い道より、人通りの多い道を選ぶ方が無難です。,無難は、危険がなく、安心できることです。
265,vocab1300_p051_002,51,心身,しんしん,心と体,よく寝ると、心身の疲れが少し取れます。,心身は、心と体のことです。
266,vocab1300_p051_003,51,ものおじ,ものおじ,こわがったり、びくびくしたりすること,青ちゃんはものおじせず、初めて会う子にも話しかけました。,ものおじは、こわがったり、びくびくしたりすることです。
267,vocab1300_p051_004,51,偽る,いつわる,事実や本心を隠して、うそを言うこと,本当は忘れたのに、やったと偽るのはよくありません。,偽るは、事実や本心を隠して、うそを言うことです。
268,vocab1300_p051_005,51,身の丈以上,みのたけいじょう,本来の自分の力や実力をこえていること,身の丈以上の目標でも、少しずつ近づこうと努力しました。,身の丈以上は、本来の自分の力や実力をこえていることです。
269,vocab1300_p051_006,51,理にかなう,りにかなう,筋が通っていて、理屈に合うこと,寒い日に上着を着て出かけるのは、理にかなっています。,理にかなうは、筋が通っていて、理屈に合うことです。
270,vocab1300_p052_001,52,蚊の鳴くような声,かのなくようなこえ,弱々しくて、とても小さい声,発表のとき、緊張して蚊の鳴くような声になってしまいました。,蚊の鳴くような声は、弱々しくて、とても小さい声のことです。
271,vocab1300_p052_002,52,故意,こい,わざとすること,間違えたのではなく、故意に水をこぼしたのなら注意が必要です。,故意は、わざとすることです。
272,vocab1300_p052_003,52,太鼓判を押す,たいこばんをおす,人物や物のよさが確かだと保証すること,先生は、その作文のよさに太鼓判を押しました。,太鼓判を押すは、人物や物のよさが確かだと保証することです。
273,vocab1300_p052_004,52,曲解する,きょっかいする,わざとひねくれて解釈すること,相手の言葉を曲解せず、まずは本当の意味をたしかめましょう。,曲解するは、わざとひねくれて解釈することです。
274,vocab1300_p052_005,52,高飛車,たかびしゃ,相手を見下すように、偉そうな態度をとるようす,勝ったからといって、高飛車な言い方をするのはよくありません。,高飛車は、相手を見下すように、偉そうな態度をとるようすです。
275,vocab1300_p052_006,52,見ず知らず,みずしらず,一度も会ったことがないこと,見ず知らずの人に、急に名前を教えるのはやめましょう。,見ず知らずは、一度も会ったことがないことです。
276,vocab1300_p053_001,53,疑惑,ぎわく,本当かどうか疑うこと,本当に自分で作ったのか、少し疑惑の目で見られました。,疑惑は、本当かどうか疑うことです。
277,vocab1300_p053_002,53,顔がほころぶ,かおがほころぶ,うれしさで笑顔になること,妹はプレゼントをもらって、顔がほころびました。,顔がほころぶは、うれしさで笑顔になることです。
278,vocab1300_p053_003,53,いがみ合い,いがみあい,お互いに敵意を持って争うこと,兄弟でいがみ合いばかりせず、話し合うことにしました。,いがみ合いは、お互いに敵意を持って争うことです。
279,vocab1300_p053_004,53,奥歯にものがはさまったよう,おくばにものがはさまったよう,思っていることをはっきりと言わないようす,友だちは奥歯にものがはさまったような言い方で、はっきり答えませんでした。,奥歯にものがはさまったようは、思っていることをはっきりと言わないようすです。
280,vocab1300_p053_005,53,奥行き,おくゆき,表から奥までの長さや距離,この本棚は奥行きがあるので、大きな本も入ります。,奥行きは、表から奥までの長さや距離のことです。
281,vocab1300_p053_006,53,眉間にしわをよせる,みけんにしわをよせる,考え事や不愉快なことで、顔をしかめること,むずかしい問題を見て、青ちゃんは眉間にしわをよせました。,眉間にしわをよせるは、考え事や不愉快なことで、顔をしかめることです。
282,vocab1300_p054_001,54,怖じ気づく,おじけづく,こわくて、びくびくすること,相手が強そうに見えても、怖じ気づかずに試合に出ました。,怖じ気づくは、こわくて、びくびくすることです。
283,vocab1300_p054_002,54,帳尻を合わせる,ちょうじりをあわせる,最終的に予定通りになるようにすること,予定より遅れた分、最後に急いで帳尻を合わせました。,帳尻を合わせるは、最終的に予定通りになるようにすることです。
284,vocab1300_p054_003,54,手を広げる,てをひろげる,活動の範囲を広げること,母は仕事の手を広げて、新しい教室も始めました。,手を広げるは、仕事や活動の範囲を広げることです。
285,vocab1300_p054_004,54,虫がいい,むしがいい,自分のことばかり考えていて、ずうずうしいこと,自分は手伝わないのに、分け前だけほしがるのは虫がいい話です。,虫がいいは、自分のことばかり考えていて、ずうずうしいことです。
286,vocab1300_p054_005,54,割り切る,わりきる,自分の中で、きっぱりと結論を出すこと,全員に好かれるのはむずかしいと割り切って、自分らしく話しました。,割り切るは、自分の中の原則にそって、きっぱりと結論を出すことです。
287,vocab1300_p054_006,54,気がかり,きがかり,心配で、頭から離れないこと,明日の発表がうまくいくか、ずっと気がかりでした。,気がかりは、心配で、頭から離れないことです。
288,vocab1300_p055_001,55,顔がきく,かおがきく,信用や人脈があって、相手に話を通しやすいこと,その店では父の顔がきくので、店長さんが親切にしてくれました。,顔がきくは、信用や人脈があって、相手に話を通しやすいことです。
289,vocab1300_p055_002,55,板ばさみ,いたばさみ,対立する二人の間で、どちらの味方もできず困ること,二人の友だちがけんかをして、どちらにもつけず板ばさみになりました。,板ばさみは、対立する二人の間で、どちらの味方もできず困ることです。
290,vocab1300_p055_003,55,補足,ほそく,足りない部分を補うこと,先生は、足りない説明をあとから補足しました。,補足は、足りない部分を補うことです。
291,vocab1300_p055_004,55,好意,こうい,誰かを好ましく思い、慕う気持ち,友だちの親切な言葉に、好意を感じました。,好意は、誰かを好ましく思い、慕う気持ちです。
292,vocab1300_p055_005,55,まつわる,まつわる,つながりや関係があること,祖母から、昔のお祭りにまつわる話を聞きました。,まつわるは、つながりや関係があることです。
293,vocab1300_p055_006,55,すげなく,すげなく,冷たくて、思いやりがないようす,一緒に遊ぼうとさそったのに、すげなく断られて悲しくなりました。,すげなくは、冷たくて、思いやりがないようすです。
294,vocab1300_p056_001,56,臨時,りんじ,必要な時だけ行われること,大雨で電車が止まり、臨時のバスが出ました。,臨時は、決まった時ではなく、必要な時だけ行われることです。
295,vocab1300_p056_002,56,ユニーク,ユニーク,独特で、ほかとは違っているようす,その子の絵は色の使い方がユニークで、すぐ目に入りました。,ユニークは、独特で、ほかとは違っているようすです。
296,vocab1300_p056_003,56,でっち上げる,でっちあげる,ない話を作り上げること,友だちのせいにするため、ない話をでっち上げてはいけません。,でっち上げるは、ない話を作り上げることです。
297,vocab1300_p056_004,56,悪事の報い,あくじのむくい,悪いことをした結果が自分に返ってくること,人をだましてばかりいたら、あとで悪事の報いを受けることがあります。,悪事の報いは、悪いことをした結果が、自分に返ってくることです。
298,vocab1300_p056_005,56,おっくう,おっくう,何かをするのが面倒くさいこと,寒い朝は、布団から出るのがおっくうになります。,おっくうは、何かをするのが面倒くさいことです。
299,vocab1300_p056_006,56,重宝,ちょうほう,とても役に立って便利なこと,小さなライトは、暗い場所でとても重宝します。,重宝は、とても役に立って便利なことです。
300,vocab1300_p057_001,57,いなめない,いなめない,否定できないこと,練習不足だったことは、いなめません。,いなめないは、否定できないという意味です。
301,vocab1300_p057_002,57,安易,あんい,深く考えないこと,安易に答えを写すのではなく、自分で考えましょう。,安易は、深く考えないことです。
302,vocab1300_p057_003,57,あらすじ,あらすじ,物語の大まかな内容,本を読んだあと、友だちにあらすじを短く話しました。,あらすじは、物語の大まかな内容です。
303,vocab1300_p057_004,57,みくびる,みくびる,相手の能力や力を軽く見ること,相手が小さいからといって、力をみくびってはいけません。,みくびるは、相手の能力や力を軽く見ることです。
304,vocab1300_p057_005,57,かたくなに,かたくなに,意地っぱりで、頑固に,弟はかたくなに『行かない』と言い続けました。,かたくなには、意地っぱりで、頑固なようすです。
305,vocab1300_p057_006,57,脅迫,きょうはく,脅して何かをさせようとすること,人を脅迫して、無理に言うことを聞かせてはいけません。,脅迫は、脅して何かをさせようとすることです。
306,vocab1300_p058_001,58,後くされ,あとくされ,終わったあとも問題が残ること,きちんと謝ったので、後くされなく話し合いを終えられました。,後くされは、物事が終わったあとも、問題や悪い影響が残ることです。
307,vocab1300_p058_002,58,気まぐれ,きまぐれ,気分次第で何かをすること,弟は気まぐれで、遊びたいものがすぐ変わります。,気まぐれは、気分次第で何かをすることです。
308,vocab1300_p058_003,58,てきめん,てきめん,効果が目に見えてよく分かること,早く寝たら、朝の元気にてきめんの効果がありました。,てきめんは、効果が目に見えてよく分かることです。
309,vocab1300_p058_004,58,先決,せんけつ,先に決めるべきこと,遊ぶ前に、宿題を終わらせることが先決です。,先決は、先に決めるべきことです。
310,vocab1300_p058_005,58,ふれこみ,ふれこみ,事前に宣伝したり知らせたりすること,その店は『大きなケーキが人気』というふれこみでした。,ふれこみは、事前に宣伝したり、周りに知らせたりすることです。
311,vocab1300_p058_006,58,うろ覚え,うろおぼえ,しっかりと覚えていないこと,歌の歌詞をうろ覚えだったので、途中で止まってしまいました。,うろ覚えは、しっかりと覚えていないことです。
312,vocab1300_p059_001,59,自滅,じめつ,自分自身の失敗でだめになること,ふざけすぎて注意を聞かなかったため、試合で自滅してしまいました。,自滅は、自分自身の失敗でだめになることです。
313,vocab1300_p059_002,59,お膳立て,おぜんだて,すぐ取りかかれるように用意しておくこと,母がお膳立てをしてくれたので、すぐ工作を始められました。,お膳立ては、すぐに取りかかれるように用意しておくことです。
314,vocab1300_p059_003,59,耳をそろえて,みみをそろえて,借りたお金などを全額きちんと用意して,借りていたお金を、耳をそろえて返しました。,耳をそろえては、借りたお金などを全額きちんと用意することです。
315,vocab1300_p059_004,59,高をくくる,たかをくくる,大体この程度だろうと軽く見ること,簡単だと高をくくっていたら、テストで時間が足りませんでした。,高をくくるは、大体この程度だろうと軽く見ることです。
316,vocab1300_p059_005,59,貫禄,かんろく,堂々として立派な雰囲気,校長先生は落ち着いていて、貫禄があります。,貫禄は、態度や雰囲気が立派で、堂々としているようすです。
317,vocab1300_p059_006,59,群がる,むらがる,たくさんの人や物が一か所に集まること,人気のパン屋さんの前に、人が群がっていました。,群がるは、たくさんの人や物が一か所に集まることです。
318,vocab1300_p060_001,60,もってこい,もってこい,ちょうどよく、ぴったりのようす,この広い公園は、走り回って遊ぶのにもってこいです。,もってこいは、ちょうどよく、ぴったりのようすです。
319,vocab1300_p060_002,60,年始,ねんし,年の初め,年始には、家族で神社へ行きました。,年始は、年の初めのことです。
320,vocab1300_p060_003,60,ことに,ことに,特に、とりわけ,今日はことに寒いので、手ぶくろを持って行きましょう。,ことには、特に、とりわけ、という意味です。
321,vocab1300_p060_004,60,ちなんで,ちなんで,何かに関連づけて,学校の創立記念日にちなんで、昔の写真を見ました。,ちなんでは、何かに関連づけて、という意味です。
322,vocab1300_p060_005,60,ぎこちない,ぎこちない,慣れていなくて、滑らかでないようす,初めての英語の発表で、少しぎこちない話し方になりました。,ぎこちないは、慣れていなくて、動きや話し方が滑らかでないようすです。
323,vocab1300_p060_006,60,一線を画する,いっせんをかくする,はっきりと区別できること,その作品は工夫が多く、ほかの作品とは一線を画していました。,一線を画するは、はっきりと区別できること、明らかに違いがあることです。
324,vocab1300_p061_001,61,うなぎの寝床,うなぎのねどこ,細長い家や部屋のこと,その古い店は、入口はせまいけれど奥が長く、うなぎの寝床のようでした。,うなぎの寝床は、細長い家や部屋のことです。
325,vocab1300_p061_002,61,えびで鯛を釣る,えびでたいをつる,少しの元手で大きな利益を得ること,小さなお礼をしただけなのに大きなお返しをもらい、えびで鯛を釣るようでした。,えびで鯛を釣るは、少しの元手や努力で、とても大きな利益を得ることです。
326,vocab1300_p061_003,61,柳の下のどじょう,やなぎのしたのどじょう,同じ方法でまた同じ幸運を得ようとすること,一度当たったからといって、また同じ方法で当たるとは限りません。柳の下のどじょうですね。,柳の下のどじょうは、前と同じ方法で、また同じ幸運を得ようとすることです。
327,vocab1300_p061_004,61,逃げた魚は大きい,にげたさかなはおおきい,手に入れそこねたものほど、よく見えること,買わなかったおもちゃが、あとからとてもよく見えてきました。逃げた魚は大きいですね。,逃げた魚は大きいは、手に入れそこねたものほど価値があるように感じることです。
328,vocab1300_p061_005,61,腐っても鯛,くさってもたい,落ちぶれても、もとの価値や品が残ること,古い道具ですが、もとはよい品なので、今でもしっかり使えます。腐っても鯛ですね。,腐っても鯛は、落ちぶれても、もとの価値や品が残っているという意味です。
329,vocab1300_p061_006,61,まな板の鯉,まないたのこい,どうにもできず、相手に任せるしかない状態,検査の結果を待つしかなく、私はまな板の鯉のような気持ちでした。,まな板の鯉は、どうにもできず、相手に任せるしかない状態です。
330,vocab1300_p063_001,63,五十歩百歩,ごじっぽひゃっぽ,少し違っても、大きな差はないこと,二人の点数は少し違いますが、どちらも同じくらいです。五十歩百歩ですね。,五十歩百歩は、少しの違いはあっても、大きな差はないという意味です。
331,vocab1300_p063_002,63,よそよそしい,よそよそしい,他人行儀で、打ち解けていないようす,転校したばかりで、友だちは少しよそよそしい態度でした。,よそよそしいは、他人行儀で、打ち解けていないようすです。
332,vocab1300_p063_003,63,装う,よそおう,違うように見せかけること,青ちゃんは、劇でお姫様を装って舞台に立ちました。,装うは、本当とは違うように見せかけることです。
333,vocab1300_p063_004,63,念じる,ねんじる,強く願うこと,試合の前に、みんなで勝てますようにと念じました。,念じるは、心の中で強く願うことです。
334,vocab1300_p063_005,63,あどけない,あどけない,素直でかわいらしいようす,小さな子のあどけない笑顔を見て、みんながなごみました。,あどけないは、素直でかわいらしいようすです。
335,vocab1300_p063_006,63,先端,せんたん,とがっている先の部分,えんぴつの先端がとがっているので、気をつけて持ちました。,先端は、とがっている先の部分です。
336,vocab1300_p064_001,64,ひときわ,ひときわ,他よりもいっそう目立って,発表会で、その子の歌声はひときわ目立っていました。,ひときわは、他よりもいっそう目立っているようすです。
337,vocab1300_p064_002,64,とりとめのない,とりとめのない,要点やまとまりがないようす,とりとめのない話が続き、何を言いたいのか分かりませんでした。,とりとめのないは、話などに要点やまとまりがないようすです。
338,vocab1300_p064_003,64,警告,けいこく,悪いことが起こらないように気をつけるよう言うこと,先生は、走ると危ない場所でみんなに警告しました。,警告は、悪いことが起こらないように気をつけるよう言うことです。
339,vocab1300_p064_004,64,あらさがし,あらさがし,悪いところばかり見つけようとすること,友だちのあらさがしばかりせず、よいところも見つけたいです。,あらさがしは、悪いところばかり見つけようとすることです。
340,vocab1300_p064_005,64,尻上がり,しりあがり,後になればなるほど良くなっていくこと,試合の後半になるほど、チームの調子は尻上がりに良くなりました。,尻上がりは、後になればなるほど良くなっていくことです。
341,vocab1300_p064_006,64,素質,そしつ,生まれながらに備わっている性質や力,青ちゃんには、物語を作る素質があるかもしれません。,素質は、生まれながらに備わっている性質や力です。
342,vocab1300_p065_001,65,妥協する,だきょうする,お互いにゆずり合って解決すること,話し合いでお互いに少しずつゆずり、妥協することにしました。,妥協するは、お互いにゆずり合って解決することです。
343,vocab1300_p065_002,65,スペース,スペース,空間、空いている場所,机を置くには、もう少し広いスペースが必要です。,スペースは、空間や空いている場所のことです。
344,vocab1300_p065_003,65,腹を決める,はらをきめる,決断すること,むずかしい発表だけれど、やると腹を決めました。,腹を決めるは、決断することです。
345,vocab1300_p065_004,65,あたり障りのない,あたりさわりのない,差し障りがなく、周囲に悪い影響を与えないこと,けんかにならないよう、あたり障りのない言い方を選びました。,あたり障りのないは、差し障りがなく、周囲に悪い影響を与えないことです。
346,vocab1300_p065_005,65,格段,かくだん,差や程度がとても大きいこと,毎日練習したので、ピアノの音が格段にきれいになりました。,格段は、差や程度がとても大きいことです。けた違い、とも言えます。
347,vocab1300_p065_006,65,好転,こうてん,事態が良い方向に変わること,薬を飲んで休んだら、体の具合が好転しました。,好転は、事態が良い方向に変わることです。
348,vocab1300_p066_001,66,ひんしゅく,ひんしゅく,反感を買ったり軽蔑されたりすること,人が話しているのに大声で笑って、まわりのひんしゅくを買いました。,ひんしゅくは、自分の言動のせいで、反感を買ったり軽蔑されたりすることです。
349,vocab1300_p066_002,66,明け渡す,あけわたす,自分の土地や家などを、ほかの人に渡すこと,工事のため、古い家を明け渡すことになりました。,明け渡すは、自分の土地や家などを、ほかの人に渡すことです。
350,vocab1300_p066_003,66,うりふたつ,うりふたつ,そっくりであること,姉妹の顔がうりふたつで、初めて会った人はよく間違えます。,うりふたつは、そっくりであることです。
351,vocab1300_p066_004,66,おざなり,おざなり,その場かぎりの、いい加減なことをするようす,おざなりな返事ではなく、相手の話をきちんと聞きたいです。,おざなりは、その場かぎりの、いい加減なことをするようすです。
352,vocab1300_p066_005,66,飢餓,きが,食べ物がなくて、飢えること,世界には、飢餓で苦しむ人たちがいます。,飢餓は、食べ物がなくて、飢えることです。
353,vocab1300_p066_006,66,尻込み,しりごみ,こわがったりためらったりして、前に進めないこと,高い台の上に立つのがこわくて、少し尻込みしました。,尻込みは、こわがったりためらったりして、前に進めないことです。
354,vocab1300_p067_001,67,目の敵,めのかたき,誰かを敵視して、にくらしく思うこと,弟は、いつも自分をからかう相手を目の敵にしていました。,目の敵は、誰かを敵視して、にくらしく思うことです。
355,vocab1300_p067_002,67,手軽,てがる,手間がかからず簡単なこと,この料理は、電子レンジで作れるので手軽です。,手軽は、手間がかからず簡単なことです。
356,vocab1300_p067_003,67,雲をつかむよう,くもをつかむよう,とらえどころがなく、はっきりしないようす,『すごいものを作る』だけでは、雲をつかむような話です。,雲をつかむようは、とらえどころがなく、内容がはっきりしないようすです。
357,vocab1300_p067_004,67,似たり寄ったり,にたりよったり,どれも同じようで、あまり違いがないこと,二つのかばんは、色も形も似たり寄ったりでした。,似たり寄ったりは、どれも同じようで、あまり違いがないことです。
358,vocab1300_p067_005,67,首をひねる,くびをひねる,納得できずに考え込んだり、疑わしく思ったりすること,友だちの説明を聞いても分からず、先生は首をひねりました。,首をひねるは、納得できずに考え込んだり、疑わしく思ったりすることです。
359,vocab1300_p067_006,67,何しろ,なにしろ,何と言っても、とにかく,何しろ初めてなので、少し時間がかかりました。,何しろは、何と言っても、とにかく、という意味です。
360,vocab1300_p068_001,68,猫かわいがり,ねこかわいがり,非常にかわいがって甘やかすこと,祖父は小さな犬を猫かわいがりして、何でもしてあげます。,猫かわいがりは、非常にかわいがって甘やかすことです。
361,vocab1300_p068_002,68,あざける,あざける,ばかにして悪口を言ったりすること,失敗した友だちをあざけるのではなく、助けたいです。,あざけるは、ばかにして悪口を言ったりすることです。
362,vocab1300_p068_003,68,ひもじい,ひもじい,ひどくお腹がすいているようす,朝ごはんを食べなかったので、昼前にはひもじくなりました。,ひもじいは、ひどくお腹がすいているようすです。
363,vocab1300_p068_004,68,ないがしろ,ないがしろ,人や物をいい加減に扱うこと,約束をないがしろにすると、相手を悲しませてしまいます。,ないがしろは、人や物をいい加減に扱うことです。
364,vocab1300_p068_005,68,特色,とくしょく,ほかと比べて、特に良いところや目立つところ,この学校の特色は、外で遊ぶ時間が長いことです。,特色は、ほかと比べて、特に良いところや目立っているところです。
365,vocab1300_p068_006,68,打ち込む,うちこむ,没頭して、一所懸命に何かをすること,青ちゃんは、ピアノの練習に打ち込んでいます。,打ち込むは、没頭すること、一所懸命に何かをすることです。
366,vocab1300_p069_001,69,強いる,しいる,無理にさせること,友だちに、いやな係を無理に強いるのはよくありません。,強いるは、無理にさせることです。
367,vocab1300_p069_002,69,生々しい,なまなましい,目に見えるようにリアルなようす,祖父は、昔の地震の話を生々しく話してくれました。,生々しいは、目に見えるようにリアルなようすです。
368,vocab1300_p069_003,69,なじる,なじる,良くない点や不満な点を責めること,失敗した友だちをなじるより、次の方法を考えたいです。,なじるは、良くない点や不満な点を責めることです。
369,vocab1300_p069_004,69,無礼,ぶれい,礼儀をわきまえていないこと,あいさつをしないのは、少し無礼な態度です。,無礼は、礼儀をわきまえていないことです。
370,vocab1300_p069_005,69,紙一重,かみひとえ,違いがわずかであること,一位と二位の差は紙一重でした。,紙一重は、違いがわずかであることです。
371,vocab1300_p069_006,69,手はない,てはない,そうするべきだ、しないのはもったいないということ,せっかく近くに図書館があるなら、使わない手はありません。,手はないは、そうするべきだ、そうしないのはもったいない、という意味です。
372,vocab1300_p070_001,70,おべっか,おべっか,相手に気に入られるように、調子のよいことを言うこと,おべっかばかり言うより、本当によいと思ったことを伝えたいです。,おべっかは、相手に気に入られるように、調子のよいことを言うことです。
373,vocab1300_p070_002,70,肩の荷が下りる,かたのにがおりる,大きな仕事や負担から解放されて、気持ちが楽になること,発表が終わって、やっと肩の荷が下りました。,肩の荷が下りるは、大きな仕事や負担から解放されて、気持ちが楽になることです。
374,vocab1300_p070_003,70,観衆,かんしゅう,大勢の見物客,試合でよいプレーをすると、観衆から大きな拍手が起きました。,観衆は、大勢の見物客のことです。
375,vocab1300_p070_004,70,ひるむ,ひるむ,強い相手やこわいことに気おくれすること,相手が強そうでも、ひるまずに試合を始めました。,ひるむは、強い相手やこわいことに気おくれして、思い切りが悪くなることです。
376,vocab1300_p070_005,70,尻目に,しりめに,気づいているが、無視すること,片づける友だちを尻目に、弟は先に遊びに行ってしまいました。,尻目には、気づいているが、無視することです。
377,vocab1300_p070_006,70,現状,げんじょう,現在の状態や有り様,先生は、クラスの現状を見て席替えを考えました。,現状は、現在の状態や有り様のことです。
378,vocab1300_p071_001,71,互い違い,たがいちがい,交互に並ぶこと,赤と白のカードを互い違いに並べました。,互い違いは、二つのものが交互に並ぶことです。
379,vocab1300_p071_002,71,貢献,こうけん,社会や人のために役立つこと,ごみ拾いをして、町の美化に貢献しました。,貢献は、社会や人のために役立つことです。
380,vocab1300_p071_003,71,おくびにも出さない,おくびにもださない,口に出さず、知っている素振りを見せないこと,結果を知っていたのに、兄はおくびにも出しませんでした。,おくびにも出さないは、口に出さず、知っている素振りを見せないことです。
381,vocab1300_p071_004,71,茶化す,ちゃかす,真剣な話を冗談めかして、はぐらかすこと,まじめに相談しているのに、友だちは話を茶化しました。,茶化すは、真剣な話を冗談めかして、はぐらかすことです。
382,vocab1300_p071_005,71,見かけ倒し,みかけだおし,外側ばかりよく見えて、中身が伴わないこと,見た目は立派でもすぐ壊れるなら、見かけ倒しです。,見かけ倒しは、外側ばかりよく見えて、中身が伴わないことです。
383,vocab1300_p071_006,71,陥れる,おとしいれる,だまして、苦しい立場に追いやること,うそをついて友だちを陥れるようなことはしてはいけません。,陥れるは、だまして、苦しい立場に追いやることです。
384,vocab1300_p072_001,72,言いよどむ,いいよどむ,ためらって、なかなか言い出せないこと,本当のことを言いにくくて、少し言いよどみました。,言いよどむは、ためらって、言いたいことがなかなか言い出せないことです。
385,vocab1300_p072_002,72,とりわけ,とりわけ,特に,果物はどれも好きですが、とりわけいちごが好きです。,とりわけは、特に、という意味です。
386,vocab1300_p072_003,72,ひっきりなし,ひっきりなし,切れ目なく続くこと,人気の店には、ひっきりなしにお客さんが来ました。,ひっきりなしは、とだえることなく、切れ目なく続くことです。
387,vocab1300_p072_004,72,ぎくしゃく,ぎくしゃく,人間関係などがうまくいっていないようす,けんかのあと、友だちとの会話がぎくしゃくしました。,ぎくしゃくは、人間関係などがうまくいっていないようすです。
388,vocab1300_p072_005,72,頻繁,ひんぱん,ひっきりなしに、何度も行われること,最近、学校から頻繁にお知らせが届きます。,頻繁は、ひっきりなしに、何度も行われることです。
389,vocab1300_p072_006,72,支持,しじ,他の人の意見をよいと認めて後押しすること,わたしは、友だちの考えを支持しました。,支持は、他の人の意見をよいと認めて後押しすることです。
390,vocab1300_p073_001,73,大事,だいじ,だいじ,これは、おばあちゃんからもらった大事な本です。,大切に扱うという意味の大事は、だいじ と読みます。
391,vocab1300_p073_002,73,大事,おおごと,おおごと,早く手当てできたので、大事にならずにすみました。,大変な出来事という意味の大事は、おおごと と読みます。
392,vocab1300_p073_003,73,人気,にんき,にんき,その遊びはクラスで人気があります。,評判や受けがよいという意味の人気は、にんき と読みます。
393,vocab1300_p073_004,73,人気,ひとけ,ひとけ,夜の公園は人気がなくて、少しこわく感じました。,人がいる気配という意味の人気は、ひとけ と読みます。
394,vocab1300_p073_005,73,上手,うわて,うわて,将棋では、兄の方が一枚上手です。,相手より勝っているという意味の上手は、うわて と読みます。
395,vocab1300_p073_006,73,上手,じょうず,じょうず,妹は絵をかくのが上手です。,手際がよく、やり方が巧みという意味の上手は、じょうず と読みます。
396,vocab1300_p075_001,75,いやが上にも,いやがうえにも,なお、ますます、いっそう,前にほめられたので、いやが上にもやる気が高まりました。,いやが上にもは、なお、ますます、いっそう、という意味です。
397,vocab1300_p075_002,75,がてら,がてら,何かをするついでに,散歩がてら、近くの公園に行きました。,がてらは、何かをするついでに、という意味です。
398,vocab1300_p075_003,75,潔白,けっぱく,何も悪いことをしていないこと,自分は何もしていないので、潔白を証明したいと思いました。,潔白は、何も悪いことをしていないことです。
399,vocab1300_p075_004,75,耳が早い,みみがはやい,うわさなどを人よりも早く聞きつけること,姉は耳が早く、新しい店の話をすぐ知っていました。,耳が早いは、うわさなどを人よりも早く聞きつけることです。
400,vocab1300_p075_005,75,折半,せっぱん,半分に分けること,材料費を二人で折半することにしました。,折半は、半分に分けることです。
401,vocab1300_p075_006,75,しおらしい,しおらしい,控えめでおとなしいようす,先生の前では、弟は少ししおらしい態度でした。,しおらしいは、控えめでおとなしいようすです。
402,vocab1300_p076_001,76,キャンセルする,キャンセルする,予約・約束・予定を取り消すこと,体調が悪くなったので、ピアノの予約をキャンセルしました。,キャンセルするは、予約・約束・予定を取り消すことです。
403,vocab1300_p076_002,76,のさばる,のさばる,我が物顔で勢いを増すこと,注意する人がいないと、いじわるな子がのさばってしまいます。,のさばるは、我が物顔で勢いを増すことです。
404,vocab1300_p076_003,76,肝に銘じる,きもにめいじる,忘れないように、心に留めておくこと,失敗から学んだことを、肝に銘じておきます。,肝に銘じるは、忘れないように、心に留めておくことです。
405,vocab1300_p076_004,76,聞こえよがし,きこえよがし,悪口などを直接本人に言わず、わざと聞こえるように言うこと,本人に言わず、聞こえよがしに文句を言うのはよくありません。,聞こえよがしは、悪口などを直接本人に言わず、わざと聞こえるように言うことです。
406,vocab1300_p076_005,76,あざむく,あざむく,うそをついてだますこと,人をあざむいて得をしようとするのは、してはいけないことです。,あざむくは、巧妙にうそをついてだますことです。
407,vocab1300_p076_006,76,短縮,たんしゅく,時間や距離を縮めること,駅までの道を変えたら、時間を短縮できました。,短縮は、時間や距離を縮めること、短くすることです。
408,vocab1300_p077_001,77,会釈,えしゃく,軽く頭を下げたりしてあいさつをすること,近所の人に会ったので、軽く会釈をしました。,会釈は、軽く頭を下げたりしてあいさつをすることです。
409,vocab1300_p077_002,77,画期的,かっきてき,新しい時代を感じさせるほど目覚ましい様子,その道具は、だれでも簡単に使える画期的な発明でした。,画期的は、新しい時代の到来を感じさせるように目覚ましい様子です。
